usuarios,genero ,idades,acuidadeVisual,recursoEspecial,escolaridade,utilizaComputador,acessoVideos,frequencia ,dispositivo,programaLeitura,siteVideos,conteudoVideo,dificuldades,interageVideo,interageTipo,conhecerGestual
21,F,37,baixa visao profunda,recurso_Nao,medio incompleto,menos de 1 ano,acessaVideos_Sim,mensalmente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
22,F,29,baixa visao severa,recurso_Nao,medio completo,menos de 1 ano,acessaVideos_Sim,semanalmente,celular,programaLeitura_Nao,redes sociais,entretenimento,dificuldade_Sim,interageVideo_Nao,interageTipo_Volume,conhecerGestual_Sim
23,F,35,baixa visao severa,recurso_Nao,medio completo,entre 1 e 5 anos,acessaVideos_Sim,mensalmente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
24,F,39,proximo a cegueira,recurso_Sim,fund. incompleto,menos de 1 ano,acessaVideos_Sim,semanalmente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
25,M,36,proximo a cegueira,recurso_Nao,sup. incompleto,mais de 5 anos,acessaVideos_Sim,diariamente,outros,programaLeitura_Sim,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
26,F,18,baixa visao moderada,recurso_Sim,medio completo,mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
27,M,24,baixa visao moderada,recurso_Sim,sup. incompleto,mais de 5 anos,acessaVideos_Sim,semanalmente,computador,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
28,M,32,proximo a cegueira,recurso_Sim,medio completo,mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
29,F,57,cegueira total,recurso_Sim,pos completo,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,redes sociais,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
30,M,27,cegueira total,recurso_Sim,medio completo,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
31,M,61,cegueira total,recurso_Sim,medio completo,menos de 1 ano,acessaVideos_Sim,semanalmente,computador,programaLeitura_Nao,youtube,educacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
32,M,15,baixa visao profunda,recurso_Nao,medio completo,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
33,M,14,baixa visao severa,recurso_Sim,medio incompleto,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Nao,youtube,educacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
34,M,49,cegueira total,recurso_Sim,medio completo,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
35,F,32,baixa visao moderada,recurso_Sim,sup. incompleto,mais de 5 anos,acessaVideos_Sim,semanalmente,computador,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
36,M,30,cegueira total,recurso_Sim,pos completo,mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,redes sociais,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
